Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,MonomerA_1,MonomerB_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,E_LUMO (eV)_2,E_HOMO (eV)_2,MonomerA_2,MonomerB_2
PTIIG-T,[*]c1sc(c2sc(/C(C(N3CC(CCCCCCCCCC)CCCCCCCC)=O)=C4C(N(c5c\4sc([*])c5)CC(CCCCCCCCCC)CCCCCCCC)=O)c3c2)cc1,1,0,0,0,0.17,-3.62,-5.03,[*]c1sc(/C(C(N2CC(CCCCCCCCCC)CCCCCCCC)=O)=C3C(N(c4c\3sc([*])c4)CC(CCCCCCCCCC)CCCCCCCC)=O)c2c1,*c1ccc(*)s1,PTIIG-SeSe,[*]c1sc(/C(C(N2CC(CCCCCCCCCC)CCCCCCCC)=O)=C3C(N(c4c\3sc(c(c5)[se]c6c5[se]c([*])c6)c4)CC(CCCCCCCCCC)CCCCCCCC)=O)c2c1,1,0,0,-3.6,-4.95,[*]c1sc(/C(C(N2CC(CCCCCCCCCC)CCCCCCCC)=O)=C3C(N(c4c\3sc([*])c4)CC(CCCCCCCCCC)CCCCCCCC)=O)c2c1,*c1cc2[se]c(*)cc2[se]1
PTIIG-T,[*]c1sc(c2sc(/C(C(N3CC(CCCCCCCCCC)CCCCCCCC)=O)=C4C(N(c5c\4sc([*])c5)CC(CCCCCCCCCC)CCCCCCCC)=O)c3c2)cc1,1,0,0,0,0.17,-3.62,-5.03,[*]c1sc(/C(C(N2CC(CCCCCCCCCC)CCCCCCCC)=O)=C3C(N(c4c\3sc([*])c4)CC(CCCCCCCCCC)CCCCCCCC)=O)c2c1,*c1ccc(*)s1,PAIID-SeSe,[*]c1nc(N(C(/C2=C3C(N(c4c/3ccc(c(c5)[se]c6c5[se]c([*])c6)n4)CC(CCCCCCCCCC)CCCCCCCC)=O)=O)CC(CCCCCCCCCC)CCCCCCCC)c2cc1,1,0,0,-3.7,-5.55,[*]c1nc(N(C(/C2=C3C(N(c4c/3ccc([*])n4)CC(CCCCCCCCCC)CCCCCCCC)=O)=O)CC(CCCCCCCCCC)CCCCCCCC)c2cc1,*c1cc2[se]c(*)cc2[se]1
